channel_id,average_views,average_views_ads,average_views_except_short,average_views_short,engagement_rate,engagement_rate_last_10,subs_growth_3_months,subs_growth_3_months_amount,short_ratio,total_videos,trend_count,format1_long,format1_short,topic1_long,topic1_short,topic2_long,topic2_short
UCqItq9z1CNf_1kz0EPwiXVg,2603,4925,198,2738,4.73,1.47,0.23,20,94.69,527,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업",NULL,"여행 & 캠핑"
UCqnlLQytrn75s_5gSQ0CUBQ,21916,13416,10718,24566,0.11,0.41,15.68,930,80.86,418,NULL,브이로그,"리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","여행 & 캠핑","패션 & 의류"
UCR19aHW_92TAKGLoTH01Z7w,19210,12579,19296,19011,0.2,0.4,0.79,300,30.16,514,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","연애 & 결혼",육아
UCR7KlsfF3nJViQl4BxpyShw,100626,NULL,234656,35245,0.15,0.16,12.39,290,67.21,61,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업",엔터테인먼트,"일상 & 라이프스타일"
UCR8th9vv4cSnfoY-Gx5hnbA,119154,136540,107560,127075,2.15,1.77,4.72,5000,59.41,845,2,튜토리얼,"리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","일상 & 라이프스타일","일상 & 라이프스타일"
UCr9dFkKR6sX8YJRXUTYIwqA,53472,59434,61405,37993,0.63,1.05,0.34,1000,33.88,242,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","여행 & 캠핑","여행 & 캠핑"
UCREwWGTy6b1nKqAbOnifZXg,14249,9786,1967,14633,0.36,0.36,20.22,360,96.97,231,NULL,NULL,음악,NULL,음악,NULL,NULL
UCRiIf6rt91BVfZVtURRXlOw,392018,300672,177064,701166,2.32,2.63,2,7000,41.01,434,22,튜토리얼,튜토리얼,"뷰티 & 메이크업","뷰티 & 메이크업","일상 & 라이프스타일","일상 & 라이프스타일"
UCrImXjr5oWCmR5sI_29p11g,1777,1894,2463,1376,1.74,4.22,4.55,70,63.14,255,NULL,브이로그,"리뷰 & 언박싱","일상 & 라이프스타일",게임,게임,"취미 & 공예 & 디자인"
UCrlUlicedicJ5mlibqC62Eg,205782,117599,161747,327683,1.35,1.26,0.53,3000,26.54,878,4,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","의료 & 건강"
