channel_id,channel_title,video_id,video_url,ads_yn,subscribers,views,likes,comments,video_title,publishDate,brand_name,matched_keyword,updated_at
UC_xVzJW2DD6aIYxa_cGXCOA,지려밍,AsVjrRWBWYA,https://www.youtube.com/watch?v=AsVjrRWBWYA,0,37200,17085,365,67,📌광고 없이 피부타입별 인생앰플만 골라드립니다,2026-04-05,토리든,토리든,2026-04-15T10:46:14.117692
UCPbFt0ir9Yrp5lCzm-Ei7rw,로주 RhoJu,EHPE4zXTavI,https://www.youtube.com/watch?v=EHPE4zXTavI,0,40400,5478,119,39,광고❌ 요즘 피부 리즈 찍은 수부지의 공병템 24가지(수부지 스킨케어 추천ㅣ예민 두피 케어템ㅣ화잘먹템ㅣ꿀피부 인생템 추천ㅣ정착한 욕실템)ㅣ로주RhoJu,2026-01-15,토리든,토리든,2026-04-15T10:46:14.117692
UCzB4SMiJegcyFlnFvosUVcg,뷰티부장관,nG_D7YLXmLo,https://www.youtube.com/watch?v=nG_D7YLXmLo,0,10200,1360,22,9,"쿠션 안 뜨는 법🪞원샷 집대성📚 광고❌ 뷰티부 장관상 그 후, 좋은 쿠션 잘 쓰는 법까지 알려드려야 진짜죠.",2026-01-22,토리든,토리든,2026-04-15T10:46:14.117692
UCoACuELLbiRuUU3vCBaDJCA,설빈 Just Swervin,9sp39lK1u00,https://www.youtube.com/watch?v=9sp39lK1u00,0,14700,4956,52,37,"광고❌, 원작자가 말아주는 선크림 14종 솔직 리뷰..",2026-02-28,토리든,토리든,2026-04-15T10:46:14.117692
UCV6iLaH5FZ2a6pJsbAs6meg,띰니 ddimni,Is_HAz9WOS0,https://www.youtube.com/watch?v=Is_HAz9WOS0,0,40400,2341,51,34,만원이하! 갓성비. 봄웜라 메이크업🌷 GRWM | 올영세일 | ALL 내돈내산,2026-03-04,토리든,토리든,2026-04-15T10:46:14.117692
UCSed5sg92x-Zx-ws5pvC4zw,­구아구 kyua,XPNY_tCqUSM,https://www.youtube.com/watch?v=XPNY_tCqUSM,0,8260,2700,27,4,포도요거무스 •• 여름뮤트 블러 메이크업 / 릴리바이레드 러브빔 치크 무스 / 페리페라 애교통신반짝임 / 퓌 로즈 옵세션,2026-03-19,토리든,토리든,2026-04-15T10:46:14.117692
UCrlUlicedicJ5mlibqC62Eg,뷰드름 유튜버 인씨,SDLWZqF4hj8,https://www.youtube.com/watch?v=SDLWZqF4hj8,0,562000,92608,1374,133,(앰플 편)돈 낭비 막아드립니다😤 앰플 40개 싹 정리...🔥,2026-03-13,토리든,토리든,2026-04-15T10:46:14.117692
UC3wmXZAsLYGINtBuZZOonLQ,torriden토리든,U3LzJgWqRvk,https://www.youtube.com/watch?v=U3LzJgWqRvk,0,1600,15247,3049,123,"Torriden with CORTIS!, 오백 분 짜리 비하인드 왔습니다. (아님)",2026-03-27,토리든,Torriden,2026-04-15T10:46:14.117692
UCq8dWevtTXOrElZkaSptrvQ,はりん하린,V5CmvYv27Yc,https://www.youtube.com/watch?v=V5CmvYv27Yc,0,129000,28106,239,22,【2026年最新版】意味があるものだけ！美容オタクのリアル愛用品まとめ🗂️,2026-02-16,토리든,Torriden,2026-04-15T10:46:14.117692
UCYixnMo7eTRtS0BBCpn8PmA,차센스타일리시,cVnq5ksxyHs,https://www.youtube.com/watch?v=cVnq5ksxyHs,0,342,1800,7,0,3월 올영세일 가기 전 보고 가세요!!,2026-02-28,토리든,토리든,2026-04-15T10:46:14.117692
UC6gbVH-zlupe0E1iUbnI8XQ,예진아C,d5jge-exmmI,https://www.youtube.com/watch?v=d5jge-exmmI,0,13500,5139,108,41,♡찐템으로 꽉~🤩채운..🫒올리브영 스킨케어★30가지★추천템..!🫒(순한 거 위주로..!)😶‍🌫️ | 뭘 살지 몰라요? 그럼 일단 클릭👈,2026-03-02,토리든,토리든,2026-04-15T10:46:14.117692
UCKEvBMEpqQPrvh5ZeN_P3og,다이아언니[Dia.sister],2Expz8c22wE,https://www.youtube.com/watch?v=2Expz8c22wE,0,167000,1905,46,0,아마존 1위 찍은 그 제품? K-뷰티 탑 10✨,2026-03-03,토리든,토리든,2026-04-15T10:46:14.117692
UC3wmXZAsLYGINtBuZZOonLQ,torriden토리든,OKaOMqzuWWI,https://www.youtube.com/watch?v=OKaOMqzuWWI,0,1240,500000,354,10,"Torriden with CORTIS, 마지막 한 병?",2026-03-19,토리든,Torriden,2026-04-15T10:46:14.117692
UCvGvf3Lk0Z5reU544g_SzPg,비트 BTE,YFKXaS_UFA0,https://www.youtube.com/watch?v=YFKXaS_UFA0,0,103000,1770000,337,16,"이 중에 이건 쓰지 마세요! (에스트라, 센카, 마녀공장, 토리든)",2026-03-15,토리든,토리든,2026-04-15T10:46:14.117692
UChaTUCM7bPBTJaIZQ83PNwQ,스완SWAN_현실남자관리,hDwT0GXPNtQ,https://www.youtube.com/watch?v=hDwT0GXPNtQ,0,484000,47030,506,106,"V-log) 아침 7시에 일어나 운동, 출근해서 회의, 점심 먹고 커피, 끝나지 않는 회의...",2026-01-28,토리든,토리든,2026-04-15T10:46:14.117692
UCjgZxM7HzZAac1otBC_sW2Q,맨즈뷰티 훈Hoon,cxYPCQxgpnM,https://www.youtube.com/watch?v=cxYPCQxgpnM,0,1600,1173,40,19,광고❌쓸데없이 돈 쓰지말고 이것만 보고 따라하세요! | 좁쌀 여드름 박멸!,2026-02-18,토리든,토리든,2026-04-15T10:46:14.117692
UC6gbVH-zlupe0E1iUbnI8XQ,예진아C,dlcExnXXC_U,https://www.youtube.com/watch?v=dlcExnXXC_U,0,13500,2600,29,2,🫒올영세일🫒때 쟁여야 할 순한 수분 세럼 4가지 추천💧,2026-03-03,토리든,토리든,2026-04-15T10:46:14.117692
UCw_VHcLeiSSXA8SSk0dbwkA,도영도영이,lyIUXP7q3E4,https://www.youtube.com/watch?v=lyIUXP7q3E4,0,962000,52778,949,76,실용적인 것만 챙겨다니는 사람의 왓츠인마이백👜,2026-03-02,토리든,Torriden,2026-04-15T10:46:14.117692
UCV5Q_31yEqkV15Q-AHZWE5A,제나 dailyjenna,46aF6zW2lXQ,https://www.youtube.com/watch?v=46aF6zW2lXQ,0,104000,10639,89,11,"이 3가지 안 지키면, 겨울에 아무리 발라도 피부 망가져요..",2026-01-18,토리든,토리든,2026-04-15T10:46:14.117692
UChZI-ZKjHKEqsC4MADYaomQ,메디컬투데이TV,g-xRha1thkg,https://www.youtube.com/watch?v=g-xRha1thkg,0,36800,551,0,0,"[메디컬투데이 - 쇼츠뉴스] LG생활건강, 토리든 인수설에 결정된 바 없다 해명…뷰티 사업 강화 모색",2026-01-28,토리든,토리든,2026-04-15T10:46:14.117692
UCHUkpUuH7O3U7eIx93tMUwA,먼지나방 스토그래피,FbmRGz8zgIE,https://www.youtube.com/watch?v=FbmRGz8zgIE,0,94600,11602,377,616,[먼지박스]🎁먼지나방이 500만원 쏜다!!🎁,2026-01-12,토리든,토리든,2026-04-15T10:46:14.117692
UCUrCIBJ3ScRAOLgPElscZqA,INBORA인보라,bGNaDnkZcyU,https://www.youtube.com/watch?v=bGNaDnkZcyU,1,532000,46430,754,140,"2025 연말결산 모음집🏆올해도 절대 배신없다! 미친듯이 쓴 최애템들만 소개할게‼️ㅣ 색조 베스트, 스킨케어, 최애 립, 생활꿀템, N통째 쟁임템ㅣ인보라INBORA",2026-01-05,토리든,토리든,2026-04-15T10:46:14.117692
UCl50tlRGrXUicT4eXwNrBRw,YEZI BEAUTY | 예지뷰티,eMAUkCGvPLA,https://www.youtube.com/watch?v=eMAUkCGvPLA,0,4510,11000,53,18,Sensitive Skin Morning Routine | 민감성 피부 아침 관리 6가지,2026-01-13,토리든,토리든,2026-04-15T10:46:14.117692
UCd1KnV0ly47NCHzeRBXWpeg,가리비,qN6qorfpPnk,https://www.youtube.com/watch?v=qN6qorfpPnk,0,817,6400,17,8,올영깡#관리자님잘생겼어요 #올리브영 #비즈계 #토리든#롬엔#컬러그램,2026-01-08,토리든,토리든,2026-04-15T10:46:14.117692
UCC46Et2A3gqo0rI53H42GXQ,아리아리삥아리,dK3HfRoawPQ,https://www.youtube.com/watch?v=dK3HfRoawPQ,0,353,1600,0,2,우리 ㅇㅐㄱㅣ는요~아주 작고 소중해요♡#힐링#올리브영추천템#올영#히알루론산#토리든#글로스#토리든세럼#수분보충#수분세럼#세럼추천,2026-03-11,토리든,토리든,2026-04-15T10:46:14.117692
UC3ZQbE9FKR8TwHYqTNcIXQQ,HOONION,iL1aVV6XrWo,https://www.youtube.com/watch?v=iL1aVV6XrWo,0,408000,67210,3398,3081,정가 64만원😱⁉️ 알차게 찐추천템만 모아온 후니언박스🎁 싹 다! 드립니다👍🏻 (쉿! 후니언즈만 보셈...) ,2026-01-01,토리든,Torriden,2026-04-15T10:46:14.117692
UC26RKCp5GM9XxygDjikvtxw,타라재,CbyGQx-swnY,https://www.youtube.com/watch?v=CbyGQx-swnY,0,27700,13000,141,1,점점 못생겨지는 30가지 이유 중 1번째 이유🏜️'피부당김' 해결법,2026-01-21,토리든,토리든,2026-04-15T10:46:14.117692
UCbb9tuf-n7aQbkAUQg3fIJg,조곤닥터 김명석,VAg87otznlI,https://www.youtube.com/watch?v=VAg87otznlI,0,135,10000,12,1,피부 좋은 의사는 스킨케어 제품 어떤 걸 쓸까요? #스킨케어 #일리윤 #토리든,2026-01-31,토리든,토리든,2026-04-15T10:46:14.117692
UCuJiA7LSOUtv4TTUH2TFzoQ,팩하는동안,QZ7PD8xyqXA,https://www.youtube.com/watch?v=QZ7PD8xyqXA,0,23300,5274,101,24,다이소 vs 올리브영 수분세럼 14개 비교! 13년 뷰티 어드바이저가 고른 가성비템은?,2026-04-05,토리든,토리든,2026-04-15T10:46:14.117692
UCVi4J5y_uvl-t2wFE7Oz7lg,릴리약사,y992r0-kF9g,https://www.youtube.com/watch?v=y992r0-kF9g,0,13100,11000,71,0,✅15년차 여약사 PICK 보습/피부장벽템 순위!,2026-04-03,토리든,토리든,2026-04-15T10:46:14.117692
UCq8dWevtTXOrElZkaSptrvQ,はりん하린,86X8NyNmX34,https://www.youtube.com/watch?v=86X8NyNmX34,0,129000,20222,411,24,【質問殺到💭】好評だったニュートラルピンクメイク完全再現🤍ウェーブ巻きの作り方も！,2026-02-11,토리든,Torriden,2026-04-15T10:46:14.117692
UCKsnQxvZ67NftJ1zW46D1HQ,플레이콜마,6GXPlNeoEWo,https://www.youtube.com/watch?v=6GXPlNeoEWo,0,84200,2300,100,5,명예 연구원 MC광의 선크림 월드컵,2026-01-07,토리든,토리든,2026-04-15T10:46:14.117692
UCu3vr8GLVlt6e4lwFt_M_CQ,김재둥,9_NJF8jGLe8,https://www.youtube.com/watch?v=9_NJF8jGLe8,0,117,1700,7,2,나는 취준생일까? 먹방러일까? #vlog,2026-02-27,토리든,토리든,2026-04-15T10:46:14.117692
UCKsnQxvZ67NftJ1zW46D1HQ,플레이콜마,EqLtLaAriA0,https://www.youtube.com/watch?v=EqLtLaAriA0,0,84200,2400,115,3,해외여행도 한국콜마와 함께,2026-01-08,토리든,토리든,2026-04-15T10:46:14.117692
UCdLwMtqz0GwDXRPO_bgKwbw,리뷰히,WGnUSXOcQ8o,https://www.youtube.com/watch?v=WGnUSXOcQ8o,0,2160,350000,2801,13,여드름 종류별 이 성분 바르세요!,2026-02-26,토리든,토리든,2026-04-15T10:46:14.117692
UC9pR3MoUeYJnJ7JwlgwRygA,한무드,pCT4Qcpw-oY,https://www.youtube.com/watch?v=pCT4Qcpw-oY,0,1590,12822,138,130,"심한 여드름 흉터 치료 후기 + 재생, 진정 관리 스킨케어 루틴🔥",2026-01-30,토리든,토리든,2026-04-15T10:46:14.117692
