channel_id,channel_title,brand1,brand2,brand3,video_id,views,likes,comments,channel_cost,publishDate,cpv,title
UCChdHmdkgTpk0iyuODYxJIw,"haeni 해니 beauty",클리오,NULL,NULL,vzOhWGTnVXM,48425,1087,20,24700000,2023-12-27,510.067,"왕모공도 매끈하게 쿠션 바르는 법!!🌕"
UCChdHmdkgTpk0iyuODYxJIw,"haeni 해니 beauty",NULL,NULL,NULL,wsKp_6jwnDs,75208,2399,92,24700000,2022-04-22,328.423,"ENG)데일리 메이크업 이렇게만 하면 성공✨추천템 한가득! Simple Daily makeup/Korean"
UCChdHmdkgTpk0iyuODYxJIw,"haeni 해니 beauty","메이블린뉴욕 코리아",NULL,NULL,WYWJ5nTXq3E,42908,1058,82,24700000,2023-08-06,575.65,"덥고 답답해 보이는 화장은 그만?가볍고 지속력 좋은 메이크업 꿀팁!! Light & long-lasting makeup tips!! / ENG CC"
UCChdHmdkgTpk0iyuODYxJIw,"해니 haeni beauty",NULL,NULL,NULL,XoR17nbqKCg,42279,1381,83,24700000,2024-09-01,584.214,"매끈한 얼굴형 만드는 법🥚하이라이터, 컨투어 꿀팁🍯"
UCChdHmdkgTpk0iyuODYxJIw,"해니 haeni beauty",입큰,NULL,NULL,yiQJAq5k6zs,45617,1147,72,41260000,2025-08-10,904.487,"독보적인 맑고 뽀얀 피부 어떻게 하는 건데!!☁️[톤업크림, 파우더 전문가처럼 쓰는 법]"
UCChdHmdkgTpk0iyuODYxJIw,"haeni 해니 beauty",네케르,NULL,NULL,Z8_7vVYplwk,26717,878,43,24700000,2022-06-17,924.505,"ENG)연한 메이크업 좋아하시는 분?매일하기 좋은 청아 메이크업 Pure lovely makeup/Korean"
UCChdHmdkgTpk0iyuODYxJIw,"haeni 해니 beauty",토니모리,NULL,NULL,Zh8NVQg90cM,90739,2012,102,24700000,2023-12-17,272.209,"반짝반짝 광나는 글로우 연말 메이크업🌟전문가 꿀팁 와르르!! GLOW MAKEUP | ENG CC"
UCChdHmdkgTpk0iyuODYxJIw,"haeni 해니 beauty",아르마니뷰티,NULL,NULL,ZrT-uDVY_W0,112719,2516,120,24700000,2024-01-07,219.129,"파데는 어려워서 쿠션만 바른다❓이렇게 하면 파데 절대 안 떠요!! [스파출라, 글로우 파데] How to apply FOUNDATION | ENG CC"
UCChdHmdkgTpk0iyuODYxJIw,"haeni 해니 beauty",스킨1004,NULL,NULL,ZUxVA9Q-Rjg,40089,1197,39,24700000,2022-07-15,616.129,"ENG)여름에 파데 어떻게 바르지? 밀림X 들뜸X 절대 없는 피부 메이크업!! Flawless Summer BASE MAKEUP & SKINCARE/Korean"
UCChdHmdkgTpk0iyuODYxJIw,"haeni 해니 beauty",폰즈,NULL,NULL,zvArKZShvQk,121471,2385,111,24700000,2023-01-08,203.341,"트러블 아직도 난다고요?? [간단하게 쓱 지워지는 전문가의 클렌징 법]🫧 A simple but perfect cleansing method"
