닥터뉴토	닥터뉴토	142957	r0_exact	28
마이펫닥터	마이펫닥터	50319	r0_exact	27
Collins	콜린스	165463	r0_exact	27
콘치웨어	콘치웨어	158739	r0_exact	27
Epais	에이페	150809	r0_exact	27
EOA	이오에이	157429	r0_exact	27
FCMM	FCMM	28383	r0_exact	26
스노우투플러스	스노우투플러스	148651	r0_exact	26
디브리오	디브리오	97254	r0_exact	26
Bodyand_mall	바디앤	164352	r1_decor	26
Laka	라카	85584	r0_exact	25
브링그린	브링그린	3361	r0_exact	25
deepeershop	디피어	154683	r1_decor	25
MLB KIDS	MLB 키즈	85178	r0_exact	25
Scentlier 	센틀리에	142970	r0_exact	25
헤어플러스	헤어플러스	108383	r0_exact	25
더미식	더미식	15	r0_exact	24
Not Only For Today	낫온리포투데이	90528	r0_exact	24
바바더닷컴	바바더닷컴	147760	r0_exact	23
프리메라	프리메라	4339	r0_exact	23
드시모네	또박케어	107084	r0_exact	23
MLBkorea	MLB Korea	53854	r0_exact	23
뮤드	뮤드	47248	r0_exact	23
plalink	플라링크	172966	r0_exact	22
Plaud.kr	플라우드	163745	r1_decor	22
젝시믹스	젝시믹스	49154	r0_exact	22
오늘의집	오늘의집	28367	r0_exact	22
베이비 브레짜	베이비브레짜	64488	r0_exact	22
OFRA Cosmetics Korea	오프라코스메틱	154808	r0_exact	22
TOUN28	톤28	66558	r0_exact	22
트리폴라 코리아 	트리폴라	341	r1_decor	22
Barcofficial	바크	62142	r1_decor	22
Biorga	바이오가	85888	r0_exact	22
프로젝트21	프로젝트21	19697	r0_exact	22
Lg생활건강	LG생활건강	112	r0_exact	21
Glow.M	글로우엠	155708	r0_exact	21
Kokozi	코코지하우스	875	r0_exact	21
Meliens	멜리언스	154456	r0_exact	21
반코르	반코르	4608	r0_exact	21
LIBER	리베르	91868	r0_exact	21
이즈앤트리	이즈앤트리	959	r0_exact	20
무르	무르	135821	r0_exact	20
Teabless_official	티블레스	45809	r1_decor	20
스크럽대디	스크럽 대디	168603	r0_exact	20
라이브오랄스	라이브오랄스	609	r0_exact	20
Slown	슬로운	157436	r0_exact	20
모두닥	모두닥	154147	r0_exact	20
웰247	웰247	160114	r0_exact	20
페이퍼백	페이퍼백	4067	r0_exact	20
Gripit	그리핏	156059	r0_exact	19
라보페	라보페	133	r0_exact	19
Lavoir	라브아	94649	r0_exact	19
렌트리	렌트리	162166	r0_exact	19
팸퍼스	팸퍼스	143	r0_exact	19
더랩바이블랑두	더랩바이블랑두	3193	r0_exact	18
LeMouton	르무통	4352	r0_exact	18
엠디스픽	엠디스픽	165434	r0_exact	18
Entropy makeup	엔트로피 메이크업	152879	r0_exact	18
Dermela	더멜라	163805	r0_exact	18
Bouquet Garni	부케가르니	119797	r0_exact	18
23.65	23.65	156106	r0_exact	17
더블플래그	더블플래그	152980	r0_exact	17
Stand Oil	스탠드오일	4034	r0_exact	17
Prayforit	프레이포잇	154453	r0_exact	17
그루밍랩	그루밍랩	35390	r0_exact	17
뽕브라몰	뽕브라몰	117323	r0_exact	17
Secondmono	세컨모놀로그	166058	r0_exact	17
넛세린	넛세린	53826	r0_exact	17
베스트슬립.오피셜	베스트슬립	52829	r1_decor	16
오즈코딩스쿨	오즈코딩스쿨	154703	r0_exact	16
Casaverdi	카사베르디	165260	r0_exact	16
더니트컴퍼니	더니트컴퍼니	45842	r0_exact	16
서포트미	서포트미	165287	r0_exact	16
Housweet	하우스윗	97319	r0_exact	16
Fallcent	폴센트	129061	r0_exact	16
뉴트리몰	에버콜라겐	50274	r1_decor	16
Layerlab	레이어랩	155663	r0_exact	16
오가본	오가본	37252	r0_exact	15
위드렌즈	위드렌즈	150305	r0_exact	15
BYNIQ	바이닉	165371	r0_exact	15
모두의연구소	모두의연구소	82824	r0_exact	15
Cafe24	카페24	130961	r0_exact	15
CaratMe	캐럿미	165137	r0_exact	15
닥터블릿	닥터블릿	19852	r0_exact	15
Julie's Choice	줄리스초이스	4314	r0_exact	15
하림펫푸드	하림펫푸드	28356	r0_exact	15
한고연몰	한고연몰	153480	r0_exact	15
식물나라	식물나라	153544	r0_exact	15
Mixxo	미쏘	3114	r0_exact	15
달리프	달리프	3983	r0_exact	14
데카트론코리아	데카트론	33254	r1_decor	14
데이지크	데이지크	83	r0_exact	14
제이숲	제이숲	66588	r0_exact	14
밸런스온	밸런스온	91642	r0_exact	14
Danceonthefloor	댄스온더플로어	165362	r0_exact	14
슬로우허밍	슬로우허밍	46178	r0_exact	14
Casetify KR	케이스티파이	89	r1_decor	14
gundamdak	건담닭	164121	r0_exact	14
리덴스	리덴스	110604	r0_exact	14
리쥬란 코스메틱	리쥬란코스메틱	489	r0_exact	13
콰티	콰티	118961	r0_exact	13
오브베이스	오브베이스	65210	r0_exact	13
