branded_page_name,count,exact_match,exact_match_ci,r1_decor,r2_segment,r3_homoglyph
더클래스코리아,45,0,0,1,0,0
Quash,45,0,0,0,0,0
Bebe Holding Company Inc.,45,0,0,0,0,0
Kurved,44,0,0,0,0,0
히든 hedn,44,0,0,0,1,0
Fruwe.asia,44,0,0,0,1,0
프로틴방앗간,43,0,0,0,0,0
Vivaia.kr,43,0,0,1,0,0
퓌 fwee,43,0,0,0,1,0
렌시스 lenssis,43,0,0,0,1,0
오아드 Oiad,42,0,0,0,1,0
파란구름,42,0,0,0,0,0
비즈하우스,42,1,1,0,0,0
Laorganic_official,42,0,0,0,0,0
너티퍼센트 NaughtyPercent,42,0,0,0,1,0
Wellage Global,41,0,0,1,0,0
인생템 저장소,41,0,0,0,0,0
에이블리,41,1,1,0,0,0
Mamaforest,41,1,1,0,0,0
Mayton,41,1,1,0,0,0
오드로이,41,1,1,0,0,0
Dermafirm kr,41,0,0,1,0,0
페리페라 Peripera,40,0,0,0,1,0
히디프 hidiff,40,0,0,0,1,0
디어랩스,40,1,1,0,0,0
몽디에스,40,1,1,0,0,0
pongdang_official,40,0,0,1,0,0
millimilli.us,40,0,0,0,1,0
Verish 베리시,40,0,0,0,1,0
뉴트리원,39,1,1,0,0,0
아메리칸 플로어,39,0,0,1,0,0
인스탁스,39,1,1,0,0,0
슬룸,39,1,1,0,0,0
Touchinsol.official,39,0,0,1,0,0
Poseganch,38,0,1,0,0,0
뷰티MD가 알려주는 꿀템,38,0,0,0,0,0
바이오컴,38,1,1,0,0,0
AliExpress,38,0,0,0,0,0
glow,38,1,1,0,0,0
그로우랩,38,0,0,0,0,0
닥터바이오 코스메틱,38,0,0,0,1,0
쁘띠엘린,38,1,1,0,0,0
엔카,38,1,1,0,0,0
PERVADO.official,38,0,0,0,0,0
GeorgeTown by Miltec,38,0,0,0,0,0
몽다다페이지,38,0,0,0,0,0
Giverny,37,0,1,0,0,0
보다나,37,1,1,0,0,0
Mandisa Naturals,37,0,0,0,1,0
Ääsäbi,37,0,0,0,0,0
무신사,36,1,1,0,0,0
Today with,36,1,1,0,0,0
그레인온,36,1,1,0,0,0
더마클리닉,35,0,0,0,0,0
CosmeChef 화장품을 요리하다,35,0,0,0,1,0
1957 태극제약 도미나스,35,0,0,0,1,0
엘라비아,35,1,1,0,0,0
Origincare,35,0,1,0,0,0
Ownist 오니스트,35,0,0,0,1,0
Osmo Kr,34,0,0,0,0,0
ilso 일소,34,0,0,0,1,0
Smartmade,34,0,0,0,0,0
믹순 mixsoon,34,0,0,0,1,0
soda.app,34,0,0,0,1,0
AMOREPACIFIC MALL - 아모레퍼시픽몰,33,0,0,0,1,0
Meshy,33,0,0,0,0,0
리필드-Refilled,33,0,0,0,1,0
익스트림 Extreme,33,0,0,0,1,0
클린디 - CleanD,33,0,0,0,1,0
로우포인트,33,0,0,0,0,0
CJ웰케어,32,1,1,0,0,0
Torhop ad,32,0,0,0,1,0
탈잉,32,1,1,0,0,0
아이레놀,32,1,1,0,0,0
럭스나인 Luxnine,32,0,0,0,1,0
더페이스샵 - The Face Shop,32,0,0,0,1,0
Duskrack,31,0,0,1,0,0
Bamkel_,31,0,0,0,1,0
바이오힐보,31,1,1,0,0,0
Parity_official,31,0,0,1,0,0
하르나르,31,0,0,0,0,0
바디씨,31,1,1,0,0,0
브레인올로지,31,1,1,0,0,0
3WAAU,31,1,1,0,0,0
AestheFic,31,0,1,0,0,0
션리shionle,31,0,0,0,0,0
Ddäyy,31,0,0,0,0,0
위글위글,31,1,1,0,0,0
B. by Banila 비바이바닐라,30,0,0,0,0,0
Mayyoungofficial,30,0,0,0,0,0
아이니웨딩,30,0,0,0,0,0
Marketkurly,30,0,0,0,0,0
신박한 꿀템탐구,30,0,0,0,0,0
펫퍼민트,29,1,1,0,0,0
마켓비,29,1,1,0,0,0
Hugbear,29,0,0,0,0,0
"아이디어스, idus",29,0,0,0,1,0
Blaupunkt-life-kr,29,0,0,0,1,0
디스커버리 익스페디션 Discovery Expedition,29,0,0,0,1,0
Pettena Korea,29,0,0,1,0,0
Whipped_official,29,0,0,1,0,0
베노프,29,1,1,0,0,0
대라,29,1,1,0,0,0
EGARDEN,29,1,1,0,0,0
아이소이,29,1,1,0,0,0
Style Magazine,28,0,0,0,0,0
프리플로우,28,1,1,0,0,0
메디큐브 에이지알,28,0,0,0,1,0
ANAZE,28,0,1,0,0,0
씨스터앤,28,1,1,0,0,0
피부연구소,28,0,0,0,0,0
로밍도깨비,28,1,1,0,0,0
Goodtotes korea,28,0,0,1,0,0
DPPR I 디퍼,28,0,0,0,1,0
갓바디,28,0,0,0,0,0
닥터뉴토,28,1,1,0,0,0
Sungboon Editor US,28,0,0,0,0,0
Talk to Her-톡투허,28,0,0,0,1,0
Naaamyuuu,28,0,0,0,0,0
키클래오042,27,0,0,0,0,0
마이펫닥터,27,1,1,0,0,0
Collins,27,1,1,0,0,0
꿀템 할인 정보,27,0,0,0,0,0
콘치웨어,27,1,1,0,0,0
무브핏,27,0,0,0,0,0
Epais,27,0,1,0,0,0
EOA,27,1,1,0,0,0
They.il,27,0,0,0,1,0
디자인밀 - Designmeal,27,0,0,0,0,0
로더렛 L'odeurlette,27,0,0,0,1,0
FCMM,26,1,1,0,0,0
Sailors,26,0,0,0,0,0
Zeropop.daily,26,0,0,0,0,0
꿈비- ggumbi,26,0,0,0,1,0
어바웃펫 AboutPet,26,0,0,0,1,0
스노우투플러스,26,1,1,0,0,0
romand 롬앤,26,0,0,0,1,0
