brand_logo_id,brand_name_kr,brand_name_en,related_brands,insta_channel_id
585,범표어묵,NULL,NULL,NULL
586,오페라,Opera,NULL,NULL
587,보니앤제이,"Bonny & J",NULL,NULL
588,헬로프레시,Hellofresh,NULL,NULL
589,이노박스,NULL,NULL,NULL
590,삼천리자전거,NULL,NULL,NULL
591,오호라,Ohora,NULL,NULL
592,면사랑,NULL,NULL,NULL
593,애슐리,NULL,애슐리퀸즈,NULL
594,고기극찬,NULL,NULL,NULL
595,클룹,CLOOP,NULL,NULL
596,클로넷,Clonet,NULL,NULL
597,택이네조개전골,NULL,NULL,NULL
598,펜디,Fendi,NULL,NULL
599,한국공학대학교,NULL,NULL,NULL
600,바다청년의인생밥상,NULL,NULL,NULL
601,네네치킨,NULL,NULL,NULL
602,배스킨라빈스,"Baskin Robbins",NULL,NULL
603,한독,NULL,"훼스탈, 클리어티앤",NULL
604,카카오모빌리티,"Kakao mobility",NULL,NULL
605,베버시티,NULL,NULL,NULL
606,멕시카나,NULL,NULL,NULL
