shared_column,table_count,tables
unique_id,6,YT_product_video|oliveyoung_product_info|temp_ugwanggi_bumper_da|temp_ugwanggi_campaign_da|ugwanggi_display_ad|ugwanggi_display_ad_campaign_result
studio_id,6,ugwanggi_express_adslots|ugwanggi_express_brand_campaign_view_state|ugwanggi_express_studio_channels|ugwanggi_express_studio_info|ugwanggi_express_studio_members|users_ugwanggi
country_code,5,YT_bumper_ad|YT_bumper_crawl_video_list|brand_logo|instagram_user_analysis_v2_layer6_target_country|tiktok_channel
access_id,5,ingwanggi_brand_report_access|ingwanggi_related_account_access|ingwanggi_similar_creator_access|ugwanggi_brand_report_access|ugwanggi_channel_demography_info_access
score_key,5,instagram_user_analysis_v2_layer1_user_type|instagram_user_analysis_v2_layer2_content_function|instagram_user_analysis_v2_layer3_topic|instagram_user_analysis_v2_layer4_mood|instagram_user_analysis_v2_layer5_persona
tracked_ad_folder_id,5,ugwanggi_public_tracked_ad_folder|ugwanggi_tracked_ad|ugwanggi_tracked_ad_folder|ugwanggi_tracked_ad_folder_keyword|ugwanggi_tracked_ad_folder_stat
phone_number,4,appointment|ugwanggi_express_applications|ugwanggi_free_trial_phone|ugwanggi_phone_verification
creator_bookmark_folder_id,4,ingwanggi_partner_creator_bookmark|ingwanggi_partner_creator_bookmark_folder|ugwanggi_partner_creator_bookmark|ugwanggi_partner_creator_bookmark_folder
vt_no,3,YT_brand_video_trend|YT_bumper_video_trend|YT_video_view_trend
comment_id,3,YT_comment|YT_comment_analysis|ugwanggi_tracked_ad_comment
instagram_user_id,3,ingwanggi_partner_creator_bookmark|ingwanggi_related_account_access|ingwanggi_similar_creator_access
created_user_id,3,instagram_creator_ranking_presets|instagram_creator_ranking_presets_admin|instagram_creator_ranking_presets_admin_v2
ad_video_id,3,temp_ugwanggi_bumper_da|temp_ugwanggi_campaign_da|ugwanggi_display_ad
folder_id,3,ugwanggi_brand_saved|ugwanggi_ig_creator_saved|ugwanggi_youtuber_saved
settings_id,3,ugwanggi_custom_coupon|ugwanggi_custom_coupon_settings|ugwanggi_custom_coupon_settings2
room_id,3,ugwanggi_express_chat_message|ugwanggi_express_chat_room|ugwanggi_express_chat_room_member
request_id,3,ugwanggi_express_chat_room|ugwanggi_express_request_messages|ugwanggi_express_request_status
datalab_id,3,ugwanggi_partner_datalab|ugwanggi_partner_datalab_file|ugwanggi_partner_datalab_message
trending_keyword_id,2,YT_ugwanggi_trending_keyword|YT_ugwanggi_trending_keyword_video_ids
creator_listup_filter_id,2,ingwanggi_creator_listup_filters|ugwanggi_creator_listup_filter
creator_bookmark_id,2,ingwanggi_partner_creator_bookmark|ugwanggi_partner_creator_bookmark
category_id,2,naver_weekly_trend_categories|naver_weekly_trend_rank
chat_history_id,2,ugwanggi_ai_blog_video|ugwanggi_ai_chat_history
blog_id,2,ugwanggi_ai_chat_history|ugwanggi_generated_blog
spreadsheet_id,2,ugwanggi_archive_spreadsheet_auth|ugwanggi_archive_spreadsheet_sheet
subscription_id,2,ugwanggi_cancel_survey|ugwanggi_subscription
creator_list_id,2,ugwanggi_creator_camp_list|ugwanggi_creator_listup
custom_channel_id,2,ugwanggi_creator_listup|youtuber_info
payment_number,2,ugwanggi_custom_coupon_settings2|ugwanggi_subscription
display_ad_id,2,ugwanggi_display_ad|ugwanggi_display_ad_campaign_result
requester_user_id,2,ugwanggi_express_adslots|ugwanggi_express_brand_campaigns
recipient_last_read_message_id,2,ugwanggi_express_request_campaign_view|ugwanggi_express_request_chat
sender_user_id,2,ugwanggi_express_request_chat|ugwanggi_express_request_messages
keyword_id,2,ugwanggi_keyword_request_da|ugwanggi_tracked_ad_folder_keyword
entity_id,2,ugwanggi_monitoring_entity|ugwanggi_monitoring_result
datalab_message_id,2,ugwanggi_partner_datalab_file|ugwanggi_partner_datalab_message
