table,owner_app,owner_status,writer_apps,reader_apps,join_apps,consumer_apps,per_app_hits
instagram_creator_ranking_preset_keywords,instagram,SINGLE,,,,,"{""instagram"": 1}"
instagram_creator_ranking_presets,instagram,SINGLE,,,,,"{""instagram"": 1}"
instagram_creator_ranking_presets_admin,instagram,SINGLE,,,,,"{""instagram"": 1}"
instagram_creator_ranking_presets_admin_v2,instagram,SINGLE,,,,,"{""instagram"": 1}"
instagram_creator_ranking_ticket_usages,instagram,SINGLE,,,,,"{""instagram"": 1}"
instagram_hashtag,instagram,SINGLE,,instagram_admin,,instagram_admin,"{""instagram"": 1, ""instagram_admin"": 1}"
instagram_oliveyoung_product_post,oliveyoung,SINGLE,,,,,"{""oliveyoung"": 1}"
instagram_post,instagram,SINGLE,,instagram|instagram_admin,instagram_admin,instagram_admin,"{""instagram"": 2, ""instagram_admin"": 2}"
instagram_post_analysis_llm_log,instagram_admin,SINGLE,,instagram_admin,,,"{""instagram_admin"": 2}"
instagram_post_description,instagram,SINGLE,,instagram_admin,,instagram_admin,"{""instagram"": 1, ""instagram_admin"": 1}"
instagram_post_stat_trend,instagram,SINGLE,,instagram_admin,,instagram_admin,"{""instagram"": 1, ""instagram_admin"": 1}"
instagram_ppl_brand,instagram|instagram_admin,MULTI_OWNER,,instagram|instagram_admin,,,"{""instagram"": 2, ""instagram_admin"": 2}"
instagram_sponsoring_brand,instagram,SINGLE,,,,,"{""instagram"": 1}"
instagram_user,instagram|instagram_admin,MULTI_OWNER,,,,,"{""instagram"": 1, ""instagram_admin"": 1}"
instagram_user_analysis,instagram,SINGLE,,,,,"{""instagram"": 1}"
instagram_user_analysis_categories,instagram,SINGLE,,,,,"{""instagram"": 1}"
instagram_user_analysis_mood,instagram,SINGLE,,,,,"{""instagram"": 1}"
instagram_user_analysis_topic,instagram,SINGLE,,,,,"{""instagram"": 1}"
instagram_user_analysis_v2,instagram,SINGLE,,,,,"{""instagram"": 1}"
instagram_user_analysis_v2_layer1_user_type,instagram,SINGLE,,,,,"{""instagram"": 1}"
instagram_user_analysis_v2_layer2_content_function,instagram,SINGLE,,,,,"{""instagram"": 1}"
instagram_user_analysis_v2_layer3_topic,instagram,SINGLE,,,,,"{""instagram"": 1}"
instagram_user_analysis_v2_layer4_mood,instagram,SINGLE,,,,,"{""instagram"": 1}"
instagram_user_analysis_v2_layer5_persona,instagram,SINGLE,,,,,"{""instagram"": 1}"
instagram_user_analysis_v2_layer6_audience,instagram,SINGLE,,,,,"{""instagram"": 1}"
instagram_user_analysis_v2_layer6_target_country,instagram,SINGLE,,,,,"{""instagram"": 1}"
