prefix,size,fk_internal_linked,fk_internal_total_possible,fk_internal_coverage,isolated_members_in_cluster,members
temp,3,0,3,0.0,3,temp_instagram_crawl_channel|temp_ugwanggi_bumper_da|temp_ugwanggi_campaign_da
youtuber,3,2,3,0.6667,0,youtuber_category_class|youtuber_info|youtuber_stats
YT_brand,2,0,1,0.0,2,YT_brand_bumper_cost_per_day|YT_brand_video_trend
YT_comment,2,0,1,0.0,0,YT_comment|YT_comment_analysis
YT_product,2,1,1,1.0,0,YT_product_info|YT_product_video
YT_shopping,2,0,1,0.0,0,YT_shopping_top_product|YT_shopping_top_product_video
foreign,2,0,1,0.0,2,foreign_channel_lists|foreign_video_lists
naver,2,1,1,1.0,0,naver_weekly_trend_categories|naver_weekly_trend_rank
test,2,0,1,0.0,1,test_kakao_video_monitoring|test_kakao_video_topic
users,2,0,1,0.0,1,users|users_ugwanggi
